Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,_true_binary,_true_category
80.0,6962.0,1.0,2.0,0.0,483.0,0.0,0.0,0.0,0.0,483.0,0.0,241.5,341.53256,69376.62,430.91064,3481.0,4920.049,6960.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,32.0,64.0,143.63689,287.27377,0.0,483.0,120.75,241.5,58322.25,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,161.0,0.0,241.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,483.0,229.0,235.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,attack,dos
80.0,80865470.0,8.0,4.0,56.0,11601.0,20.0,0.0,7.0,5.656854,8760.0,0.0,2900.25,4128.3193,144.15298,0.1483946,7351407.0,23600000.0,78500000.0,1.0,80800000.0,11500000.0,29500000.0,78500000.0,1.0,39621.0,13207.0,16210.402,31364.0,189.0,0.0,0.0,0.0,0.0,172.0,92.0,0.09892973,0.049464867,0.0,8760.0,897.1539,2488.507,6192667.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,971.9167,7.0,2900.25,0.0,0.0,0.0,0.0,0.0,0.0,8.0,56.0,4.0,11601.0,256.0,229.0,6.0,20.0,2332573.0,0.0,2332573.0,2332573.0,78500000.0,0.0,78500000.0,78500000.0,attack,ddos
80.0,109213540.0,4.0,3.0,363.0,0.0,351.0,0.0,90.75,173.5922,0.0,0.0,0.0,0.0,3.3237638,0.06409462,18200000.0,44600000.0,109000000.0,67.0,109000000.0,36400000.0,63000000.0,109000000.0,618.0,109000000.0,54600000.0,77200000.0,109000000.0,5230.0,0.0,0.0,0.0,0.0,136.0,104.0,0.036625497,0.027469123,0.0,351.0,45.375,123.56252,15267.696,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,51.857143,90.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,363.0,3.0,0.0,29200.0,235.0,2.0,32.0,5298.0,0.0,5298.0,5298.0,109000000.0,0.0,109000000.0,109000000.0,attack,dos
80.0,1766278.0,3.0,5.0,26.0,11601.0,20.0,0.0,8.666667,10.263203,5840.0,0.0,2320.2,2436.833,6582.769,4.5292983,252325.42,659422.7,1747690.0,117.0,18007.0,9003.5,11318.658,17007.0,1000.0,1766161.0,441540.25,870807.6,1747690.0,157.0,0.0,0.0,0.0,0.0,72.0,112.0,1.6984869,2.8308115,0.0,5840.0,1291.8889,2110.9507,4456113.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1453.375,8.666667,2320.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,26.0,5.0,11601.0,8192.0,229.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,attack,ddos
21.0,249.0,2.0,1.0,14.0,0.0,14.0,0.0,7.0,9.899495,0.0,0.0,0.0,0.0,56224.9,12048.192,124.5,140.71425,224.0,25.0,249.0,249.0,0.0,249.0,249.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,64.0,20.0,8032.1284,4016.0642,0.0,14.0,7.0,8.082904,65.333336,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.333333,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,1.0,0.0,229.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,attack,brute_force
53.0,181762.0,4.0,2.0,164.0,178.0,41.0,41.0,41.0,0.0,89.0,89.0,89.0,0.0,1881.5814,33.0102,36352.4,50335.49,101473.0,0.0,80286.0,26762.0,46350.547,80283.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,104.0,40.0,22.0068,11.0034,41.0,89.0,54.714287,23.421602,548.5714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.833332,41.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,164.0,2.0,178.0,-1.0,-1.0,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,benign
50305.0,3.0,2.0,0.0,12.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,4000000.0,666666.7,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,666666.7,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,0.0,125.0,-1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,benign
749.0,53.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,113207.55,37735.848,53.0,0.0,53.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,18867.924,18867.924,0.0,6.0,2.0,3.4641016,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,29200.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,attack,probe
80.0,901785.0,3.0,6.0,26.0,11601.0,20.0,0.0,8.666667,10.263203,5840.0,0.0,1933.5,2189.773,12893.317,9.980206,112723.125,317150.06,897624.0,5.0,3654.0,1827.0,2334.8667,3478.0,176.0,901780.0,180356.0,400967.97,897624.0,14.0,0.0,0.0,0.0,0.0,72.0,132.0,3.3267353,6.6534705,0.0,5840.0,1162.7,1911.5957,3654198.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1291.8889,8.666667,1933.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,26.0,6.0,11601.0,8192.0,229.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,attack,ddos
80.0,3001819.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99939406,1500909.5,711476.0,2003999.0,997820.0,3001819.0,1500909.5,711476.0,2003999.0,997820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.99939406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,29200.0,-1.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,attack,dos
